neighbourhood,property_type,room_type,beds,price,review_scores_rating,date_difference
1,0,0,1.0,99,92.0,2038
2,0,0,2.0,140,89.0,2038
2,0,0,2.0,108,92.0,2036
1,0,1,1.0,95,98.0,2036
3,10,1,1.0,150,90.88325849903784,2035
2,0,0,1.0,250,92.05056465561094,2034
1,0,0,1.0,105,89.0,2033
1,0,1,1.0,59,92.05056465561094,2033
1,0,1,2.0,80,92.0,2033
1,0,1,2.0,80,91.0,2033
1,0,1,1.0,85,91.0,2033
1,13,1,1.0,70,91.0,2033
1,0,0,2.0,225,100.0,2031
1,16,0,3.0,131,97.0,2031
3,0,0,2.0,110,100.0,2031
1,0,1,1.0,60,92.05056465561094,2031
3,0,1,1.0,70,100.0,2031
1,0,0,2.0,250,97.0,2030
1,0,0,1.0,110,85.0,2029
2,0,0,1.0,175,90.0,2027
1,0,1,1.0,59,92.0,2027
3,0,0,1.0,110,80.0,2026
2,0,1,1.0,115,85.0,2023
2,0,1,1.0,115,84.0,2023
2,13,1,1.0,110,80.0,2023
1,0,0,1.0,150,92.05056465561094,2022
2,0,0,1.0,215,100.0,2022
2,0,1,1.0,120,93.0,2022
2,0,0,2.0,199,77.0,2021
2,0,1,1.0,125,94.0,2020
2,0,1,1.0,89,92.05056465561094,2020
1,0,0,2.0,175,97.0,2019
1,0,0,4.0,210,100.0,2019
2,0,1,1.0,220,95.0,2018
2,0,1,2.0,220,100.0,2018
1,0,0,1.0,200,98.0,2017
2,0,1,2.0,85,90.0,2016
2,0,1,1.0,85,93.0,2016
1,0,0,1.0,123,93.0,2015
2,0,0,2.0,150,89.0,2014
2,0,0,1.0,150,92.05056465561094,2014
1,0,0,1.0,155,99.0,2012
1,10,0,3.0,200,90.88325849903784,2012
2,0,0,1.0,179,94.0,2011
2,0,0,1.0,179,91.0,2011
2,0,0,1.0,200,92.0,2011
2,0,0,1.0,190,100.0,2011
1,0,0,1.0,120,100.0,2010
2,0,0,1.0,150,92.0,2009
2,0,0,2.0,250,93.0,2009
2,0,0,1.0,165,93.0,2008
2,0,0,2.0,190,97.0,2008
2,0,1,1.0,70,100.0,2008
1,0,0,2.0,65,92.05056465561094,2007
1,0,0,1.0,135,96.0,2007
1,0,0,3.0,140,94.0,2007
1,0,0,3.0,100,94.0,2007
1,16,0,2.0,189,100.0,2007
3,0,1,2.0,32,97.0,2007
2,0,0,2.0,249,97.0,2006
1,0,1,1.0,55,100.0,2006
1,0,1,1.0,58,100.0,2006
1,0,1,1.0,60,93.0,2006
2,0,1,1.0,120,97.0,2006
3,0,0,4.0,120,93.0,2005
1,0,0,2.0,175,92.05056465561094,2003
1,0,0,2.0,85,100.0,2001
1,0,1,1.0,79,96.0,2001
1,0,0,3.0,125,76.0,2000
1,0,0,3.0,175,71.0,2000
1,10,0,2.0,135,98.0,2000
2,0,0,2.0,125,92.0,1998
1,0,0,1.0,86,100.0,1997
1,10,0,2.0,200,100.0,1997
2,10,0,4.0,230,95.0,1997
3,0,0,3.0,150,100.0,1997
3,0,1,1.0,75,96.0,1997
1,0,0,1.0,125,90.0,1996
2,0,0,1.0,200,86.0,1996
2,0,0,1.0,200,97.0,1996
2,0,0,1.0,199,95.0,1996
2,0,0,2.0,219,94.0,1996
1,0,1,1.0,65,84.0,1996
2,0,1,1.0,110,94.0,1996
1,0,0,1.0,140,94.0,1995
2,0,0,2.0,245,100.0,1995
2,10,0,3.0,399,93.0,1995
2,10,1,1.0,99,89.0,1995
2,0,0,3.0,800,100.0,1994
2,0,0,2.0,335,93.0,1994
2,0,0,1.0,155,96.0,1993
2,0,0,1.0,140,92.0,1992
2,0,0,2.0,195,93.0,1992
2,0,0,2.0,175,94.0,1989
2,0,0,2.0,195,91.0,1989
1,0,1,1.0,75,80.0,1989
1,0,1,1.0,63,92.05056465561094,1989
1,0,1,1.0,65,85.0,1988
1,0,1,1.0,60,94.0,1988
1,8,1,1.0,85,93.0,1988
1,0,0,3.0,150,80.0,1987
1,0,0,2.0,145,94.0,1987
1,0,0,4.0,175,93.0,1987
1,0,0,6.0,220,95.0,1987
1,0,1,2.0,95,97.0,1987
1,0,1,2.0,95,94.0,1987
3,0,1,1.0,70,97.0,1987
2,0,0,1.0,130,80.0,1986
1,0,0,1.0,110,100.0,1985
1,0,0,1.0,105,75.0,1982
2,0,0,1.0,100,92.05056465561094,1981
2,0,0,1.0,100,92.05056465561094,1981
1,0,0,1.0,135,92.05056465561094,1980
2,0,0,3.0,150,89.0,1980
2,0,0,3.0,150,86.0,1980
2,0,0,3.0,150,86.0,1980
2,0,0,3.0,150,89.0,1980
